Kernel,gx,gy,gz,bx,by,gpuId,ipc
1,8,2,4,16,1,16,1,0.167066
1,64,1,4,1,32,2,1,0.186978
1,4,4,16,4,8,2,1,0.186248
1,1,1,32,2,8,32,1,0.175532
1,2,16,1,8,1,64,1,0.175145
1,256,1,2,1,16,2,1,0.239766
1,4,8,1,128,1,4,1,0.175681
0,64,1,4,4,8,2,1,0.522539
0,4,1,64,1,64,1,1,0.488471
1,64,4,1,2,16,2,1,0.18638
1,32,16,1,2,8,2,1,0.239483
1,2,8,16,4,16,1,1,0.186583
0,32,1,4,16,8,1,1,0.625808
0,8,2,1,1,128,8,1,0.561591
1,1,32,4,8,2,8,1,0.168183
1,2,16,2,256,1,1,1,0.167089
1,1,4,128,1,32,1,1,0.241508
1,1,1,16,2,8,64,1,0.190076
1,1,256,2,1,32,1,1,0.242827
1,16,1,2,1,16,32,1,0.175895
1,4,32,1,128,1,1,1,0.167825
1,2,16,1,32,8,2,1,0.175443
1,1,2,16,64,4,2,1,0.175882
1,2,1,8,8,128,1,1,0.190769
0,2,4,8,4,16,4,1,0.654115
0,16,2,8,32,2,1,1,0.511395
1,16,1,32,2,2,8,1,0.239526
1,16,1,8,8,8,2,1,0.168181
1,1,2,32,2,2,64,1,0.166981
1,1,1,16,1024,1,1,1,0.190273
1,2,32,2,2,4,16,1,0.167946
1,4,2,64,8,1,4,1,0.238904
1,2,32,4,8,1,8,1,0.186941
1,4,1,128,1,2,16,1,0.23613
0,4,16,2,1,64,2,1,0.607781
0,1,16,2,1,256,2,1,0.618752
